Review Rating;Review Writer;Title;Date Published;Verify Status;Country;Aircraft;Route;Type Of Traveller;Seat type;Date Flown;Value For Money (rating out of five);Seat Comfort (rating out of five);Cabin Staff Service (rating out of five);Food & Beverages (rating out of five);inflight_entertainment (rating out of five);Wifi & Connectivity (rating out of five);Ground Service (rating out of five);Recommended
1;Marie Echevarria;"""could not find any of our tickets""";2021-08-15;Not Verified;United Arab Emirates;n/a;Dubrovnik to Boston via Amsterdam;Family Leisure;Economy Class;August 2021;1;1;1;n/a;n/a;n/a;1;no
1;N Carl ;"""no way of getting in touch""";2021-08-10;Not Verified;United Arab Emirates;n/a;Stockholm to Faro via Amsterdam;Couple Leisure;Premium Economy;August 2021;2;2;2;n/a;n/a;n/a;2;no
1;Ivana Dobrikova;"""fighting to receive my refund""";2021-08-09;Trip Verified;United Arab Emirates;n/a;Delhi to Bucharest via Amsterdam;Solo Leisure;Economy Class;September 2020;1;n/a;n/a;n/a;n/a;n/a;n/a;no
2;Richard Clarke;"""no business class style of seat""";2021-07-29;Trip Verified;United Arab Emirates;Boeing 737-800;Amsterdam to London Heathrow;Solo Leisure;Business Class;July 2021;1;1;5;1;n/a;n/a;2;no
5;Richard Clarke;"""A tired old plane""";2021-07-28;Trip Verified;United Kingdom;A332;Dammam to Amsterdam;Solo Leisure;Business Class;July 2021;3;1;3;3;3;1;3;yes
1;C Badettil;"""The worst flight experience""";2021-07-22;Trip Verified;United Kingdom;n/a;Mumbai to Amsterdam;Solo Leisure;Economy Class;July 2021;1;3;1;1;1;2;1;no
1;J Steele;"""I would not fly with KLM againv""";2021-07-22;Trip Verified;United Kingdom;n/a;Bangkok to Dublin via Amsterdam;Solo Leisure;Economy Class;July 2021;1;2;3;1;2;n/a;3;no
1;J Deane;"""KLM could not care less and offered nothing""";2021-07-12;Trip Verified;United Kingdom;n/a;Amsterdam to New York City;Couple Leisure;Economy Class;July 2021;1;2;3;2;2;n/a;1;no
1;M Serin;"""never going use this company again""";2021-07-02;Trip Verified;United Kingdom;n/a;Cape Town to Kyiv via Amsterdam;Solo Leisure;Economy Class;June 2021;1;n/a;n/a;n/a;n/a;n/a;n/a;no
3;C Wajsberg;"""you show no respect to your most loyal customers""";2021-06-24;Trip Verified;United Kingdom;Boeing 737;Brussels to Tel Aviv via Amsterdam;Business;Economy Class;June 2021;2;2;3;1;n/a;n/a;2;no
1;M Flowers;"""Never flying this airline again""";2021-06-24;Not Verified;United Kingdom;n/a;Amsterdam to Atlanta;Couple Leisure;Economy Class;June 2021;2;2;4;2;4;1;1;no
1;Abed Krayem;""" never ever fly with them again. """;2021-06-16;Trip Verified;United Kingdom;n/a;Tel Aviv to Lima via Amsterdam;Solo Leisure;Economy Class;May 2021;1;n/a;n/a;n/a;n/a;n/a;n/a;no
4;Ariana Heylund;"""shocked at the unprofessionalism of the staff and airline""";2021-06-02;Not Verified;United Kingdom;n/a;Nairobi to Amsterdam via Canada;Family Leisure;Economy Class;July 2020;2;4;2;4;3;1;1;no
7;D Nilsson;"""Overall, it was ok, at best!""";2021-05-31;Trip Verified;United Kingdom;Boeing 777-300ER / Embraer 195 E2 ;Guarulhos to Gothenburg-Landvetter via Amsterdam;Couple Leisure;Economy Class;December 2020;4;2;5;5;2;n/a;5;yes
7;T Marden;"""KLM has certainly been a mixed bag""";2021-05-26;Trip Verified;United Kingdom;Boeing 777-300ER / 737-700;Seoul to Manchester via Amsterdam;Solo Leisure;Economy Class;May 2021;4;3;5;2;2;n/a;3;yes
2;Shailin Crary;"""I will never fly with KLM again""";2021-05-13;Trip Verified;United Kingdom;n/a;Stockholm to Atlanta via Amsterdam;Solo Leisure;Economy Class;May 2021;1;n/a;n/a;n/a;n/a;n/a;n/a;no
1;Sami Darwish;"""every time I was getting disconnected""";2021-05-09;Not Verified;United Kingdom;n/a;Sofia to Chicago via Amsterdam;Solo Leisure;Economy Class;May 2021;1;n/a;n/a;n/a;n/a;n/a;n/a;no
3;C Bolt;"""Poor communication, poor customer service, lack of information""";2021-04-21;Trip Verified;United Kingdom;n/a;Atlanta to Bahrain via Amsterdam;Business;Business Class;April 2021;1;5;5;5;3;n/a;1;no
1;Teodora Mechea;"""I begged for an answer once, twice, thrice""";2021-04-16;Trip Verified;United Kingdom;Embraer 190;Bucharest to Amsterdam via Stockholm;Solo Leisure;Economy Class;December 2020;1;1;1;n/a;n/a;n/a;1;no
1;Clare Barnaby-Smith;"""our booking had not been paid for""";2021-04-09;Trip Verified;United Kingdom;n/a;Denpasar to Singapore;Business;Economy Class;January 2021;1;1;1;n/a;n/a;n/a;1;no
1;Bruce Badash;"""wasn't at all what we had booked""";2021-04-03;Not Verified;United Kingdom;n/a;Bergen to Barcelona via Amsterdam;Couple Leisure;Economy Class;April 2021;2;n/a;n/a;n/a;n/a;n/a;n/a;no
9;M Kemp;"""I had very pleasant and smooth flights""";2021-03-29;Trip Verified;United Kingdom;Boeing 777;Berlin to Curacao via Amsterdam;Solo Leisure;Economy Class;March 2021;5;4;5;5;3;5;5;yes
7;Jonsen Sinaga;"""Somehow I did not expect much""";2021-03-21;Trip Verified;United Kingdom;Boeing 777-300ER;Curacao to Amsterdam;Couple Leisure;Business Class;March 2021;4;5;4;4;4;3;4;yes
3;V Keller;"""The flight attendants did not seem happy about doing their job""";2021-03-14;Trip Verified;United Kingdom;Boeing 787-9;Mexico City to Zurich via Amsterdam;Solo Leisure;Premium Economy;March 2021;2;3;2;3;n/a;n/a;2;no
2;E Andrews;"""supervisor and staff were so rude and arrogant""";2021-03-05;Trip Verified;Namibia;BOEING 777-300ER;Windhoek to Amsterdam via Johannesburg;Solo Leisure;Economy Class;March 2021;1;1;1;1;1;1;1;no
3;Khodadad Rezakhani;"""I have never seen less""";2021-03-04;Not Verified;Namibia;Boeing 777-300;Amsterdam to Los Angeles;Solo Leisure;Economy Class;March 2021;3;2;4;2;1;2;3;no
2;Andrea Fonfara;"""Loyalty doesn't always pay off""";2021-02-12;Trip Verified;Namibia;n/a;Alicante to Amsterdam via Guatemala;Solo Leisure;Economy Class;January 2021;3;3;3;3;2;n/a;2;no
2;P Love;"""I would not fly with KLM in the future""";2021-01-20;Trip Verified;Namibia;n/a;Amsterdam to New York;Family Leisure;Economy Class;January 2021;1;2;3;3;n/a;3;2;no
10;Leo Duse;"""Crew very friendly and helpful""";2021-01-18;Trip Verified;Namibia;n/a;Milan to Bangkok via Amsterdam;Solo Leisure;Economy Class;January 2021;5;5;5;3;n/a;n/a;5;yes
7;Denis Samofalov;"""Both legs of my flight were pleasant""";2021-01-17;Trip Verified;Namibia;Boeing 777-300ER /  777-200;Manila to San José via Amsterdam;Family Leisure;Economy Class;December 2020;2;4;5;5;3;n/a;5;yes
10;T Thompson;"""their service and hospitality was truly amazing""";2021-01-12;Trip Verified;Namibia;Boeing 747-10 Dreamliner;Houston, IAH to Amsterdam, Schiphol via Atlanta, ATL;Solo Leisure;Economy Class;January 2021;5;5;5;5;5;5;5;yes
3;H Shaw;"""This airline was like flying with a pauper""";2021-01-06;Trip Verified;Namibia;Boeing 777;São Paulo to Amsterdam;Solo Leisure;Economy Class;January 2021;3;1;2;1;1;1;1;no
1;Jakob Obenaus;"""Worst experience with an airline""";2020-12-29;Trip Verified;Namibia;Boeing 787;Stuttgart to Hong Kong via Amsterdam;Solo Leisure;Business Class;September 2020;1;3;3;3;3;1;1;no
1;R Saksa;"""Arrogant and noisy staff""";2020-12-22;Trip Verified;Namibia;Boeing 737;Helsinki to Madrid via Amsterdam;Solo Leisure;Economy Class;December 2020;1;1;1;1;1;1;5;no
9;N Chan;"""Service was courteous throughout""";2020-12-14;Trip Verified;Singapore;n/a;Singapore to Amsterdam;Solo Leisure;Economy Class;December 2020;3;4;5;4;4;3;4;yes
1;Christian Kura;"""KLM only refunded me 22.00 dollar""";2020-12-08;Trip Verified;Singapore;n/a;Detroit to Münich via Paris;Family Leisure;Economy Class;December 2020;1;n/a;n/a;n/a;n/a;n/a;n/a;no
10;Alex Martino;"""I had an excellent experience with KLM""";2020-11-24;Trip Verified;Singapore;Boeing 777-300;Amsterdam to Taipei;Couple Leisure;Business Class;November 2020;5;5;5;3;3;n/a;5;yes
1;John McBride;KLM Royal Dutch Airlines customer review;2020-11-20;Not Verified;Singapore;n/a;Budapest to Washington via Amsterdam;Family Leisure;Economy Class;September 2020;1;n/a;n/a;n/a;n/a;n/a;n/a;no
1;J Meares;"""blame COVID-19 for everything!""";2020-10-26;Trip Verified;Singapore;n/a;Atlanta to Amsterdam;Business;Business Class;June 2020;1;1;1;1;n/a;n/a;1;no
5;M Allen;"""Very poor customer service""";2020-10-23;Trip Verified;Singapore;n/a;Madrid to Bogota via Amsterdam;Solo Leisure;Economy Class;October 2020;3;4;4;3;3;n/a;1;yes
10;J. van den Berg;"""Very pleasant flight with KLM""";2020-10-14;Trip Verified;Singapore;Boeing 737-700;Lisbon to Amsterdam;Couple Leisure;Economy Class;October 2020;5;5;5;5;n/a;n/a;5;yes
1;Ieva Vaitiekunaite;"""do not recommend this airline""";2020-10-12;Trip Verified;Singapore;n/a;Cagliari to Amsterdam;Solo Leisure;Economy Class;July 2020;1;n/a;n/a;n/a;n/a;n/a;n/a;no
1;Matthew Hall;"""cash refund request was sent and declined""";2020-10-10;Trip Verified;Singapore;n/a;Leeds to Amsterdam;Solo Leisure;Economy Class;May 2020;1;n/a;n/a;n/a;n/a;n/a;n/a;no
10;D Janssen;"""the usual professional and friendly KLM service""";2020-10-03;Trip Verified;Singapore;E175;Amsterdam to Copenhagen;Solo Leisure;Economy Class;September 2020;5;4;5;4;n/a;n/a;5;yes
3;Fan Zhu;"""the cabin crew were not nice at all""";2020-10-01;Trip Verified;United States;n/a;Chicago O'Hare to Amsterdam;Business;Business Class;June 2020;3;4;1;n/a;n/a;2;4;no
9;Angelo Menezes;"""staff were really nice""";2020-09-28;Trip Verified;United States;n/a;Amsterdam to Zagreb;Solo Leisure;Economy Class;September 2020;5;5;5;3;n/a;n/a;3;yes
1;D Jarsun;"""the last choice to fly with""";2020-09-13;Trip Verified;United States;n/a;Mexico to Krakow via Amsterdam;Business;Economy Class;September 2020;1;1;1;n/a;n/a;n/a;1;no
10;M Shaw;"""safety measures concerning COVID-19 was good""";2020-09-04;Trip Verified;United States;Boeing 777-300;Amsterdam to Narita;Solo Leisure;Economy Class;August 2020;4;3;5;3;5;n/a;5;yes
3;Elaine Loh;"""nobody social distanced whilst queuing""";2020-08-17;Trip Verified;United States;Boeing 737;Paris to Amsterdam ;Family Leisure;Economy Class;July 2020;4;3;3;1;n/a;n/a;3;no
5;Elaine Loh;"""very similar to pre-pandemic times""";2020-08-17;Trip Verified;United States;Boeing 737;Amsterdam to Paris ;Family Leisure;Economy Class;July 2020;5;3;4;1;n/a;n/a;5;yes
1;S Genyve;"""Very poor seat, no service""";2020-08-11;Trip Verified;United States;n/a;Panama to Geneva via Amsterdam;Couple Leisure;Economy Class;March 2020;1;1;1;1;2;2;1;no
2;S Goffi;"""had to pay 70 euros for my trolley""";2020-07-05;Trip Verified;United States;n/a;Amsterdam to Milan;Solo Leisure;Economy Class;July 2020;1;3;2;1;n/a;n/a;1;no
2;Zainab Haidari;"""never want to travel with KLM again""";2020-06-27;Trip Verified;United States;n/a;Amsterdam to Helsinki;Solo Leisure;Economy Class;June 2020;3;2;1;1;n/a;n/a;1;no
10;Anna Kyrk;"""driven to support customers""";2020-06-26;Not Verified;United States;n/a;Stockholm to Amsterdam;Solo Leisure;Economy Class;June 2020;5;5;5;n/a;n/a;n/a;5;yes
1;Claudia Neag;"""parents were denied boarding""";2020-06-20;Trip Verified;Canada;n/a;Toronto to Amsterdam;Family Leisure;Economy Class;June 2020;1;n/a;n/a;n/a;n/a;n/a;n/a;no
2;S Meed;"""especially rude in her attitude""";2020-06-17;Trip Verified;Canada;n/a;Quito to Heathrow via Amsterdam;Couple Leisure;Economy Class;February 2020;3;1;1;2;3;n/a;3;no
1;C Walters;"""never fly with this airline again""";2020-06-17;Not Verified;Canada;n/a;Sofia to New York via Amsterdam;Solo Leisure;Economy Class;June 2020;1;n/a;n/a;n/a;n/a;n/a;1;no
3;S Meed;"""told they had run out of food""";2020-06-17;Trip Verified;Canada;n/a;London to San Jose via Amsterdam;Couple Leisure;Economy Class;January 2020;3;3;2;1;3;n/a;2;no
1;K Cartledge;"""very disappointed with KLM""";2020-06-16;Not Verified;Canada;n/a;Bristol to Abu Dhabi via Amsterdam;Couple Leisure;Economy Class;March 2020;1;n/a;n/a;n/a;n/a;n/a;n/a;no
1;P Deane;"""I have been ignored, lied to""";2020-06-16;Trip Verified;Canada;Boeing 777;Ho Chi Minh City to Birmingham via Paris / Amsterdam;Business;Business Class;August 2019;1;n/a;n/a;n/a;n/a;n/a;n/a;no
9;Alistair Baker;"""staff were friendly and efficient""";2020-06-08;Trip Verified;Canada;A319;London to Amsterdam;Solo Leisure;Economy Class;October 2019;5;4;4;n/a;n/a;n/a;4;yes
1;Jay Schiffman;"""The service was abhorrent""";2020-06-04;Not Verified;Canada;Boeing 777;Amsterdam to Los Angeles;Couple Leisure;Business Class;June 2020;1;4;1;1;4;2;1;no
1;C Palvassa;"""They send you a voucher""";2020-06-02;Trip Verified;Canada;n/a;Milan to Recife via Amsterdam;Solo Leisure;Economy Class;April 2020;1;n/a;n/a;n/a;n/a;n/a;n/a;no
1;C Kardin;"""just issued the voucher""";2020-06-02;Trip Verified;Canada;n/a;Edinburgh to Los Angeles via Amsterdam;Couple Leisure;Economy Class;May 2020;1;n/a;n/a;n/a;n/a;n/a;n/a;no
1;Nicola Richardson;"""not get a refund but a voucher""";2020-06-02;Trip Verified;United Kingdom;n/a;Birmingham to St Martin via Amsterdam;Family Leisure;Economy Class;April 2020;1;n/a;n/a;n/a;n/a;n/a;n/a;no
1;Sarah Scott;"""never use this airline again""";2020-05-19;Not Verified;United Kingdom;n/a;Nuremberg to Leeds Bradford via Amsterdam;Family Leisure;Economy Class;December 2019;1;1;1;n/a;n/a;n/a;1;no
1;F Kadame;"""denying any compensation""";2020-05-02;Trip Verified;United Kingdom;n/a;Bali to Cork via Amsterdam;Family Leisure;Economy Class;June 2019;1;2;1;1;1;n/a;1;no
1;Frederic Rich;"""horrible customer service""";2020-05-01;Trip Verified;United Kingdom;n/a;Kuala Lumpur to Strasbourg via Amsterdam;Couple Leisure;Economy Class;April 2020;1;1;1;n/a;n/a;n/a;1;no
1;W Malton;"""refused to refund me""";2020-04-28;Trip Verified;United Kingdom;n/a;Manchester to Bangkok via Amsterdam;Business;Business Class;September 2019;1;n/a;n/a;n/a;n/a;n/a;n/a;no
10;Grace Tharbis;"""I really enjoyed my flight""";2020-04-23;Trip Verified;United Kingdom;n/a;Nairobi to Amsterdam;Solo Leisure;Economy Class;April 2020;5;4;4;5;5;3;5;yes
1;Viet Quang Nguyen;"""won't recommend flying with them""";2020-04-16;Trip Verified;United Kingdom;n/a;Rome to Stockholm via Amsterdam;Solo Leisure;Economy Class;April 2020;1;n/a;n/a;n/a;n/a;n/a;n/a;no
9;Ina Milcheva;"""one big thank you to KLM!""";2020-04-11;Trip Verified;United Kingdom;Boeing 787-9 Dreamliner;Cancun to Sofia via Mexico City / Amsterdam;Business;Economy Class;April 2020;4;5;5;3;3;4;5;yes
9;W Neale;"""lucky to have very friendly crews""";2020-04-11;Trip Verified;United Kingdom;n/a;Rio de Janeiro to Berlin via Amsterdam;Family Leisure;Economy Class;April 2020;4;4;5;4;n/a;n/a;4;yes
1;C Heiner;"""voucher would take multiple weeks""";2020-04-09;Trip Verified;United Kingdom;n/a;Los Angeles to Frankfurt via Amsterdam;Business;Business Class;April 2020;2;3;3;n/a;n/a;n/a;1;no
1;P Marshall;"""the worst customer service I have ever received""";2020-04-03;Trip Verified;Spain;n/a;Kyiv to Madrid via Amsterdam;Solo Leisure;Economy Class;April 2020;1;1;1;1;1;1;1;no
9;I Thanita;"""cabin crew was very friendly""";2020-04-03;Trip Verified;Spain;Boeing 777-300;Jakarta to Kuala Lumpur;Family Leisure;Economy Class;December 2019;4;5;5;5;4;n/a;4;yes
1;Jay Cobb;"""couldn't reach customer service""";2020-03-29;Not Verified;Spain;n/a;Lusaka to Zurich via Amsterdam;Business;Economy Class;March 2020;1;1;1;n/a;n/a;n/a;1;no
1;D Clarkson;"""disappointed in KLM""";2020-03-29;Trip Verified;Spain;n/a;Kuala Lumpur to Amsterdam;Solo Leisure;Economy Class;March 2020;2;1;3;2;5;n/a;3;no
1;Mindaugas Cekas;"""they even didn't say sorry""";2020-03-20;Not Verified;Spain;n/a;Vilnius to Arusha via Vilnius;Couple Leisure;Economy Class;March 2020;2;3;3;1;2;1;1;no
5;A Berlov;"""no charge for the phone""";2020-03-19;Trip Verified;Spain;Boeing 737;Bergen to Moscow;Solo Leisure;Economy Class;October 2019;2;2;4;2;1;1;2;no
5;A Berlov;"""There is almost no food""";2020-03-19;Trip Verified;Spain;Boeing 737;Moscow to Amsterdam;Solo Leisure;Economy Class;October 2019;2;1;2;1;n/a;n/a;2;no
7;A Berlov;"""Thin seats, not soft enough""";2020-03-19;Trip Verified;Spain;Boeing 777;Kuala Lumpur to Jakarta;Solo Leisure;Economy Class;March 2020;3;3;4;3;3;1;2;yes
1;Sophia Andersson;"""they couldn't rebook this flight""";2020-03-18;Trip Verified;Spain;n/a;Bergen to Denpasar via Amsterdam;Couple Leisure;Economy Class;March 2020;1;n/a;n/a;n/a;n/a;n/a;1;no
1;Michael Rück;"""cancelled without decent reason""";2020-03-12;Not Verified;Spain;n/a;Lima to Zürich via Amsterdam;Solo Leisure;Economy Class;January 2020;1;2;1;n/a;n/a;n/a;1;no
1;Lillian Halasz;"""I won't fly with them again""";2020-03-09;Trip Verified;Brazil;n/a;Budapest to Rio de Janeiro via Amsterdam;Solo Leisure;Economy Class;February 2020;1;2;5;4;3;n/a;1;no
8;Fred Hodgson;"""my first choice for now""";2020-03-08;Trip Verified;Brazil;Airbus;Manchester to Entebbe via Amsterdam;Couple Leisure;Economy Class;February 2020;3;3;4;4;n/a;n/a;4;yes
1;Maksim Kovalerchik;"""charged $60 for baggage""";2020-03-06;Trip Verified;Brazil;Boeing 747-400 ;Amsterdam to Riga;Solo Leisure;Economy Class;March 2020;1;n/a;n/a;n/a;n/a;n/a;1;no
9;Eelco van den Heuvel;"""two great flights with KLM""";2020-03-06;Trip Verified;Brazil;Boeing 737;Amsterdam to Dublin;Family Leisure;Economy Class;March 2020;4;4;5;4;n/a;n/a;5;yes
1;J Parker;"""a very bad experience""";2020-03-05;Trip Verified;Brazil;n/a;Billund to Amsterdam;Solo Leisure;Economy Class;February 2020;1;3;3;3;1;1;1;no
5;M Roberts;"""seat pitch is very limited""";2020-03-05;Trip Verified;Brazil;Boeing 787;Singapore to Denpasar ;Business;Business Class;January 2020;4;3;5;2;n/a;2;4;no
1;Ken Rauch;"""inadvertently cancelled the tickets""";2020-03-04;Not Verified;Brazil;n/a;San Francisco to Amsterdam;Couple Leisure;Economy Class;March 2020;1;n/a;n/a;n/a;n/a;n/a;n/a;no
3;M James;"""the most uncomfortable flight""";2020-03-04;Trip Verified;Brazil;Boeing 787-9;Birmingham to Las Vegas via Amsterdam;Couple Leisure;Premium Economy;February 2020;3;1;4;4;3;1;4;no
4;Marcus Carvalho;"""customer support is the worst""";2020-03-03;Trip Verified;Brazil;Boeing 777;Gdansk to Rio de Janeiro via Amsterdam;Solo Leisure;Economy Class;April 2019;3;2;3;3;3;n/a;2;no
2;S Palamatha;"""not recommend this flight""";2020-02-28;Trip Verified;Brazil;n/a;Amsterdam to Munich;Solo Leisure;Economy Class;January 2020;3;4;4;n/a;n/a;n/a;2;no
10;Yvette Batoula;"""a big kudos to KLM""";2020-02-26;Trip Verified;United States;Boeing 777;Johannesburg to Amsterdam;Business;Economy Class;February 2020;5;n/a;n/a;n/a;n/a;n/a;5;yes
9;Glenn McGee;"""friendly and accommodating""";2020-02-22;Trip Verified;United States;Boeing 777-300;Jakarta to Kuala Lumpur;Solo Leisure;Business Class;February 2020;5;4;5;5;4;n/a;4;yes
1;V Kalirou;"""Worst customer service""";2020-02-21;Trip Verified;United States;n/a;Amsterdam to Berlin;Solo Leisure;Economy Class;October 2019;1;2;2;n/a;n/a;1;1;no
2;Mignon Perry;"""most horrible seating""";2020-02-17;Trip Verified;United States;Boeing 777- 300;Cape Town to Atlanta via Amsterdam;Couple Leisure;Economy Class;February 2020;1;1;4;1;4;n/a;4;no
8;M Mahzin;"""Fare was pretty affordable""";2020-02-15;Trip Verified;United States;Boeing 737;Copenhagen to Amsterdam;Business;Economy Class;June 2019;4;4;4;3;n/a;n/a;4;yes
7;A Mahzin;"""staff were friendly""";2020-02-15;Trip Verified;United States;n/a;Amsterdam to Helsinki;Business;Economy Class;June 2019;4;3;3;4;n/a;n/a;3;yes
1;Miguel Segura;"""Such a disappointment""";2020-02-13;Trip Verified;United States;n/a;Barcelona to Amsterdam;Business;Economy Class;February 2020;1;3;2;1;n/a;n/a;2;no
9;ØW Wiig;"""KLM is my preferred airline""";2020-02-12;Trip Verified;United States;Boeing 777-300;Torp Sandefjord to Singapore via Amsterdam;Business;Premium Economy;February 2020;4;4;5;5;5;3;5;yes
1;Glete Grady;"""treating customers with such indifference""";2020-01-30;Trip Verified;United States;n/a;Bristol to Sao Paulo via Amsterdam;Couple Leisure;Economy Class;January 2020;1;1;3;1;3;3;3;no
2;David Houlihan;"""total waste of money""";2020-01-24;Trip Verified;United States;Boeing 737;Dublin to Amsterdam;Solo Leisure;Business Class;December 2019;2;1;3;2;n/a;n/a;2;no
9;Jonathan Rodden;"""good flight and service""";2020-01-23;Trip Verified;United Kingdom;Embraer 175;Amsterdam to Belfast;Solo Leisure;Business Class;January 2020;5;5;5;4;n/a;n/a;4;yes
3;M Vamarez;"""betrayed as a passenger""";2020-01-20;Trip Verified;United Kingdom;Boeing 777-200;Rio de Janeiro to Helsinki via Amsterdam;Solo Leisure;Economy Class;January 2020;1;4;5;4;5;n/a;5;no
7;Ziauddin Ahmed;"""On board staff were friendly""";2020-01-20;Trip Verified;United Kingdom;Boeing 737-800;Amsterdam to Helsinki;Business;Economy Class;June 2019;4;4;3;4;2;n/a;2;yes
7;Rishy Cletus;"""service was excellent""";2020-01-15;Trip Verified;United Kingdom;n/a;Buenos Aires to Mumbai via Amsterdam;Business;Economy Class;January 2020;4;4;5;4;4;4;4;yes
10;Justina Pliuskeviciute;"""Would highly recommend""";2020-01-13;Trip Verified;United Kingdom;n/a;Amsterdam to Inverness ;Solo Leisure;Economy Class;January 2020;5;5;5;5;n/a;n/a;5;yes
10;Natalia Antoniadou;"""a wonderful trip""";2020-01-13;Not Verified;United Kingdom;A330;Amsterdam to Vancouver;Solo Leisure;Economy Class;January 2020;5;4;5;5;5;n/a;3;yes
4;P Danov;"""something goes wrong""";2020-01-10;Trip Verified;United Kingdom;n/a;Amsterdam to Munich;Business;Economy Class;October 2019;2;3;3;3;n/a;n/a;1;no
2;B Shayitsu;"""Was not happy at all!""";2020-01-08;Trip Verified;United Kingdom;n/a;Seoul to Amsterdam;Family Leisure;Economy Class;December 2019;3;1;1;2;1;2;1;no
3;Jacqueline Van den Ende;"""The food was outright horrible""";2020-01-07;Trip Verified;United Kingdom;n/a;Manila to Amsterdam;Couple Leisure;Economy Class;January 2020;3;2;2;3;1;2;2;no
9;Z Hassane;"""Extremely kind staff and good food""";2019-12-28;Not Verified;United Kingdom;Boeing 737-800;Amsterdam to Prague;Family Leisure;Economy Class;October 2019;5;5;5;4;4;4;4;yes
1;J Darlaan;"""KLM placed us standby""";2019-12-28;Trip Verified;Netherlands;n/a;Amsterdam to Singapore;Couple Leisure;Economy Class;December 2019;1;2;3;n/a;n/a;n/a;1;no
8;Michael Duits;"""a wonderful flight""";2019-12-28;Trip Verified;Netherlands;Boeing 737-800;Amsterdam to Bucharest;Solo Leisure;Economy Class;December 2019;4;5;5;4;n/a;n/a;4;yes
8;Aliridha Habib;"""attendants were hospitable""";2019-12-27;Not Verified;Netherlands;n/a;Dar es Salaam to Toronto via Amsterdam;Family Leisure;Economy Class;June 2019;4;5;5;5;4;n/a;5;yes
